"Date","Price","Open","High","Low","Vol.","Change %"
"26-06-2023","3,174.94","3,190.22","3,199.08","3,158.37","1.98M","-0.83%"
"23-06-2023","3,201.52","3,222.37","3,234.41","3,194.35","1.12M","-0.68%"
"22-06-2023","3,223.56","3,244.97","3,252.58","3,215.20","1.53M","-0.60%"
"21-06-2023","3,243.17","3,235.01","3,246.36","3,209.08","1.65M","0.94%"
"20-06-2023","3,212.81","3,199.18","3,217.59","3,186.29","1.53M","0.54%"
"19-06-2023","3,195.59","3,175.29","3,200.07","3,160.36","1.47M","1.12%"
"16-06-2023","3,160.26","3,182.25","3,184.64","3,141.45","4.16M","-1.29%"
"15-06-2023","3,201.47","3,230.33","3,232.47","3,195.20","2.27M","-1.07%"
"14-06-2023","3,236.06","3,228.74","3,240.83","3,210.97","1.66M","0.23%"
"13-06-2023","3,228.74","3,244.97","3,249.94","3,224.06","1.37M","-0.10%"
"12-06-2023","3,231.93","3,200.17","3,239.39","3,196.19","2.32M","1.17%"
"09-06-2023","3,194.50","3,230.03","3,235.01","3,190.57","1.78M","-0.84%"
"08-06-2023","3,221.52","3,245.96","3,254.92","3,218.09","1.76M","-1.17%"
"07-06-2023","3,259.80","3,238.00","3,263.73","3,226.05","1.57M","1.32%"
"06-06-2023","3,217.39","3,264.87","3,273.68","3,205.75","2.02M","-1.72%"
"05-06-2023","3,273.73","3,299.71","3,311.66","3,269.90","1.86M","-0.51%"
"02-06-2023","3,290.35","3,310.91","3,320.51","3,282.24","2.03M","-0.55%"
"01-06-2023","3,308.67","3,298.72","3,324.60","3,282.29","1.18M","1.05%"
"31-05-2023","3,274.33","3,293.74","3,312.35","3,250.09","5.82M","-0.81%"
"30-05-2023","3,300.91","3,299.71","3,311.61","3,286.12","1.34M","-0.12%"
"29-05-2023","3,305.04","3,345.30","3,356.45","3,296.73","1.21M","-0.26%"
"26-05-2023","3,313.55","3,278.31","3,323.25","3,275.82","1.79M","1.07%"
"25-05-2023","3,278.31","3,278.81","3,290.75","3,252.03","1.37M","-0.30%"
"24-05-2023","3,288.11","3,260.89","3,301.90","3,260.89","1.02M","0.19%"
"23-05-2023","3,281.84","3,290.75","3,312.60","3,274.93","1.69M","-0.05%"
"22-05-2023","3,283.49","3,215.10","3,293.19","3,202.21","1.33M","2.35%"
"19-05-2023","3,207.99","3,195.20","3,219.58","3,188.28","1.15M","0.72%"
"18-05-2023","3,185.09","3,211.07","3,214.06","3,180.26","1.37M","-0.28%"
"17-05-2023","3,193.90","3,240.93","3,264.87","3,183.50","1.59M","-1.52%"
"16-05-2023","3,243.12","3,241.18","3,269.85","3,235.46","986.31K","0.10%"
"15-05-2023","3,240.04","3,268.85","3,276.82","3,233.37","1.15M","-0.59%"
"12-05-2023","3,259.20","3,264.03","3,274.83","3,244.97","1.03M","-0.24%"
"11-05-2023","3,267.01","3,293.74","3,294.44","3,256.91","1.72M","-0.14%"
"10-05-2023","3,271.64","3,274.83","3,291.25","3,250.99","1.56M","0.11%"
"09-05-2023","3,268.11","3,237.60","3,282.79","3,231.03","1.11M","1.00%"
"08-05-2023","3,235.61","3,230.03","3,239.84","3,216.40","928.24K","0.62%"
"05-05-2023","3,215.80","3,205.15","3,229.04","3,195.25","1.71M","0.31%"
